isoform_id	category	E1	E2	E3
587	full-splice_match	1.0	0.0	0.0
588	full-splice_match	1.0	1.0	1.0
589	novel_not_in_catalog	1.0	1.0	0.0
590	full-splice_match	1.0	1.0	1.0
591	full-splice_match	1.0	0.0	0.0
592	full-splice_match	1.0	1.0	0.0
593	full-splice_match	1.0	1.0	1.0
594	full-splice_match	1.0	1.0	0.0
595	full-splice_match	1.0	1.0	1.0
596	novel_not_in_catalog	1.0	0.0	1.0
597	novel_not_in_catalog	1.0	0.0	0.0
598	novel_not_in_catalog	1.0	0.0	0.0
599	novel_not_in_catalog	1.0	0.0	1.0
600	full-splice_match	1.0	1.0	1.0
601	novel_not_in_catalog	1.0	0.0	0.0
602	novel_in_catalog	1.0	1.0	0.0
603	novel_in_catalog	1.0	0.0	0.0
604	novel_in_catalog	1.0	0.0	1.0
605	novel_not_in_catalog	1.0	0.0	0.0
606	full-splice_match	1.0	1.0	1.0
607	novel_not_in_catalog	1.0	0.0	0.0
608	full-splice_match	1.0	1.0	1.0
609	novel_in_catalog	1.0	0.0	0.0
610	novel_not_in_catalog	1.0	0.0	1.0
611	full-splice_match	1.0	1.0	1.0
