	E1	E3
1152	10.0	0.0
1153	2.0	0.0
1154	2.0	7.0
1155	2.0	0.0
1156	24.0	0.0
1157	50.0	88.0
1158	29.0	0.0
1159	17.0	33.0
1160	2.0	0.0
1161	87.0	27.0
1162	5.0	7.0
1163	44.0	28.0
1164	79.0	139.0
1165	4.0	7.0
1166	7.0	3.0
1167	2.0	2.0
1168	9.0	3.0
1169	10.0	0.0
1170	28.0	20.0
1171	50.0	4.0
1172	2.0	0.0
1173	2.0	0.0
1174	2.0	0.0
1175	7.0	15.0
1176	2.0	0.0
1177	3.0	2.0
1178	2.0	0.0
1179	2.0	0.0
1180	12.0	9.0
1181	2.0	0.0
1182	56.0	17.0
1183	2.0	3.0
1184	122.0	0.0
1185	3.0	0.0
1186	68.0	48.0
1187	3.0	0.0
1188	9.0	3.0
1189	26.0	0.0
1190	23.0	25.0
1191	2.0	2.0
1192	3.0	0.0
1193	255.0	280.0
1194	2.0	0.0
1195	2.0	0.0
1196	11.0	8.0
1197	12.0	14.0
1198	16.0	7.0
1199	16.0	18.0
1200	2.0	0.0
1201	5.0	6.0
1202	2.0	2.0
1203	29.0	27.0
1204	8.0	0.0
1205	152.0	51.0
1206	222.0	201.0
1207	2.0	0.0
1208	2.0	0.0
1209	3.0	30.0
1210	104.0	76.0
1211	5.0	0.0
1212	13.0	10.0
1213	2.0	0.0
1214	238.0	150.0
1215	4.0	0.0
1216	2.0	0.0
1217	4.0	0.0
1218	2.0	0.0
1219	179.0	196.0
1220	5.0	5.0
1221	4.0	0.0
1222	9.0	0.0
1223	2.0	0.0
1224	12.0	3.0
1225	4.0	2.0
1226	53.0	66.0
1227	2.0	0.0
1228	3.0	2.0
1229	70.0	80.0
1230	9.0	3.0
1231	2.0	0.0
1232	7.0	2.0
1233	303.0	497.0
1234	12.0	5.0
1235	32.0	13.0
1236	2.0	0.0
1237	2.0	8.0
1238	10.0	34.0
1239	3.0	3.0
1240	2.0	9.0
1241	8.0	0.0
1242	2.0	0.0
1243	2.0	0.0
1244	4.0	16.0
1245	4.0	0.0
1246	2.0	0.0
1247	2.0	0.0
1248	5.0	0.0
1249	65.0	19.0
1250	13.0	0.0
1251	4.0	0.0
1252	15.0	12.0
1253	4.0	2.0
1254	2.0	0.0
1255	3.0	3.0
1256	20.0	17.0
1257	451.0	640.0
1258	2.0	43.0
1259	43.0	0.0
1260	2.0	2.0
1261	2.0	3.0
1262	5.0	4.0
1263	174.0	102.0
1264	403.0	432.0
1265	20.0	29.0
1266	5.0	8.0
1267	43.0	70.0
1268	2.0	5.0
1269	2.0	6.0
1270	7.0	13.0
1271	5.0	0.0
1272	212.0	799.0
1273	2.0	3.0
1274	10.0	4.0
1275	23.0	2.0
1276	3.0	0.0
1277	3.0	0.0
